level,question,answer
0.2,"What is the j'th term of -48, -394, -1330, -3150, -6148, -10618?",-49*j**3 - j**2 + 2
0.2,Does 30 divide 2661?,False
0.2,Is -6*(-5)/(-10) - -1827 - 1 prime?,True
0.2,What is s in 12*s**3/5 - 9*s**2/5 - 3*s/5 = 0?,"-1/4, 0, 1"
0.2,Let t(k) = 11*k**3 - 9*k**2 - 9*k - 9. Let l(d) = -d**2 + 16*d - 42. Let q be l(6). Let w(x) = -x**3 + x**2 + x + 1. Give q*w(p) + 2*t(p).,4*p**3
0.2,What are the prime factors of 361?,19
0.2,Simplify (3 + sqrt(2448) + sqrt(2448) + -1 + sqrt(2448) + -5)**2.,22041 - 216*sqrt(17)
0.2,Suppose -34 = -3*s + s. Let m(w) = -w**3 - 6*w**2 + 5*w - 8. Let v be m(-7). Suppose 0 = -v*a + 7*a - s. What is the units digit of a?,7
0.2,Let f(q) = -q**2 + 3*q - 4. Let w(x) = -x**2 + 2*x - 5. Give 2*f(z) - 3*w(z).,z**2 + 7
0.2,Let g(i) be the first derivative of -2*i**2 + 0*i**2 + 1 + 4*i**2. Let f(u) = 4*u - 2*u + 0*u. What is f(g(p))?,8*p
0.2,How many minutes are there between 6:59 PM and 10:14 PM?,195
0.2,Let s(x) = 1 - 1 + x**2 - 3*x. Let z be s(2). Let h = z - -5. Solve 0 = -j - h for j.,-3
0.2,Expand (-t + 3 - 3)*(-4*t + 4*t - 20*t**2 + 0*t + 2*t**2 + 0*t + (-2*t + t - t)*(-2*t - 3*t + 4*t) + 0 + t**2 + 0).,15*t**3
0.2,Let a = 3 + 5. Let k = a - 2. Suppose 0 = 2*r - k - 8. What is the units digit of r?,7
0.2,Calculate 2*-0.2.,-0.4
0.2,What are the prime factors of 768?,"2, 3"
0.2,"Let p = 14 - 9. Suppose -y - j = 3*j + p, -y = j - 4. Calculate the remainder when y is divided by 4.",3
0.2,"Let d(a) = 3*a + 24. Let x be d(-7). Suppose 4*v + 2*c - 40 = 0, x*c - 17 = -v - c. What is the remainder when v is divided by 6?",3
0.2,"What is the i'th term of 76, 90, 102, 112, 120, 126?",-i**2 + 17*i + 60
0.2,"Let m be 2/(-9) + (-76)/(-18). Suppose -m*l - 629 = -3*q, 188 = -2*q - l + 611. Is q prime?",True
0.2,Let -55*p**4 - 285*p**3 - 435*p**2 - 235*p - 30 = 0. What is p?,"-3, -1, -2/11"
0.2,Let n = -1.1 + 0.1. Let d = -0.9 - n. Let x = 32/85 + -20/17. Which is the second smallest value?  (a) d  (b) x  (c) -0.1,c
0.2,Multiply 0.21 and 0.027.,0.00567
0.2,Let h(y) = -y**2 - 8*y - 14. Let g be h(-3). Solve -r + g = 4 for r.,-3
0.2,Simplify 0 + -1 + sqrt(13) + (sqrt(13) - (sqrt(13) - sqrt(104)/sqrt(32))) + -5.,-6 + 3*sqrt(13)/2
0.2,Expand (-5*j + 0*j - j)*(4*j - 5*j + 4*j) - 8*j**2 - 14*j + 14*j.,-26*j**2
0.2,Is 2194 a multiple of 40?,False
0.2,"Suppose -2*r = -w - 2166, -3*w - w + 2146 = 2*r. Is r a prime number?",False
0.2,Calculate 39 - 41 - (1 + (1 - -7)).,-11
0.2,"Let i(g) = g. Suppose 0 = -2*n - 2*x + 8, 2*n + 2*x - 17 = -3*x. Let b(u) = 2 - 2*u. What is n*i(k) + b(k)?",2 - k
0.2,What is 49 minutes before 7:02 PM?,6:13 PM
0.2,"What is the v'th term of -60, -111, -162?",-51*v - 9
0.2,Calculate prob of sequence ct when two letters picked without replacement from tttiitiittiiic.,3/91
0.2,What is the value of -1 - ((-4 - -1) + (14 - 14))?,2
0.2,Let f(y) = -3*y**2 + 11*y - 7. Let i(v) = -v**2 + 5*v - 3. Give 3*f(r) - 7*i(r).,-2*r**2 - 2*r
0.2,Calculate prob of sequence tt when two letters picked without replacement from thyhthhytytt.,5/33
0.2,"Put -1, 5/4, 0.9, -2/7, 36 in descending order.","36, 5/4, 0.9, -2/7, -1"
0.2,What is -1 + 2 - (-53 + 53)?,1
0.2,"What is the closest to -1/6 in 0.1, -0.6, 1, -0.1?",-0.1
0.2,Let o(l) = -3*l**2 + 19*l - 15. Let g(c) = -2*c**2 + 10*c - 8. Let f(h) = -5*g(h) + 3*o(h). Is f(12) composite?,False
0.2,Calculate 1 + 2 - (75 - 67).,-5
0.2,Factor -5*u**3 + 250*u**2 - 480*u.,-5*u*(u - 48)*(u - 2)
0.2,Let d(t) = 2*t + 4*t - t + t. Let k(c) = 2*c**2. What is k(d(w))?,72*w**2
0.2,"Three letters picked without replacement from {b: 5, k: 2, d: 1, e: 1, f: 1, p: 3}. What is prob of sequence bke?",5/858
0.2,Simplify -5 + (4 + sqrt(245))*2.,3 + 14*sqrt(5)
0.2,Let r(w) = 659*w**2. Let o(q) = -12*q. Determine r(o(s)).,94896*s**2
0.2,"Let d = -0.14 - -0.14. Let o = 3.8 - 4. What is the biggest value in 0.5, o, d?",0.5
0.2,Product of 1.51 and 2.,3.02
0.2,What is 175 minutes before 12:55 AM?,10:00 PM
0.2,Is 5648 a multiple of 46?,False
0.2,What are the prime factors of 10710?,"2, 3, 5, 7, 17"
0.2,"What is the k'th term of -32, -57, -88, -119, -144, -157, -152, -123?",k**3 - 9*k**2 - 5*k - 19
0.2,"What is the t'th term of -2916, -5833, -8750, -11667?",1 - 2917*t
0.2,"Suppose 5*w - 2*w = 2*t, 0 = 2*t - w - 8. Suppose 2*z + 3*z = 75. Let h = z - t. What is the units digit of h?",9
0.2,Let q(c) = -2*c. Let v(i) = i. Let h(k) = -5*q(k) - 8*v(k). Let u(r) = -42*r. Determine u(h(p)).,-84*p
0.2,Let r(i) = 4*i. Let y(w) = -7*w**2 - 5. Determine r(y(s)).,-28*s**2 - 20
0.2,Let h = 4 - 3. Let g(a) = 4*a - 1. What is the units digit of g(h)?,3
0.2,Let c be 60/(-9)*3/(-2). What is the tens digit of c + (1 - (2 + -3))?,1
0.2,"What is the nearest to -0.2 in 2/7, 5, -1?",2/7
0.2,Let c(k) be the third derivative of k**6/360 - k**4/24 - k**2. Let d(j) be the second derivative of c(j). Let s(o) = -5*o. Give d(s(p)).,-10*p
0.2,"Let r(c) = c**2 - 6*c - 5. Let w be r(7). Suppose -6*g + 2*g = 2*l + w, -2*g = -4*l + 36. What is the units digit of l?",7
0.2,What is -0.01 times -0.3?,0.003
0.2,"What is the j'th term of 60, 32, -56, -234, -532, -980, -1608?",-5*j**3 + 7*j + 58
0.2,"Calculate prob of sequence du when two letters picked without replacement from {h: 1, i: 2, f: 3, z: 1, u: 1, d: 4}.",1/33
0.2,Let o = 40.19 + -40. Let p = o + -0.09. Let q be ((-2)/10)/(4/5). Which is the third smallest value?  (a) p  (b) -4  (c) q,a
0.2,Let q(v) be the third derivative of v**4/24 + 7*v**3/6 + 2*v**2. Let c be q(-4). Solve -8*b - 5 = -c*b for b.,-1
0.2,What are the prime factors of 95507?,95507
0.2,"Put 4, -96, 1/6, 48 in descending order.","48, 4, 1/6, -96"
0.2,Expand (-4*k + 2*k + 4*k)*(2 - 4 + 3) - k + 2 - 2.,k
0.2,Calculate prob of sequence sqq when three letters picked without replacement from seneqnsqsneeq.,3/286
0.2,"Put 88, -3, 0 in increasing order.","-3, 0, 88"
0.2,"What is the x'th term of 117, 459, 1029, 1827, 2853, 4107, 5589?",114*x**2 + 3
0.2,Calculate -3 + 11 - 7 - 7.,-6
0.2,Suppose -a = a - 4. Calculate the remainder when (-2)/a - -3 - -44 is divided by 16.,14
0.2,Let v(u) = u + 2. Let s be v(3). Solve -s*w + 36 = 11 for w.,5
0.2,Suppose 5*i + 2 = -3. Let g be 3/9*i*-15. Suppose -33 = -g*t + 12. Calculate the remainder when t is divided by 5.,4
0.2,Suppose 3*p = -2*p - 5. Let g be (-13)/(-4) - (3 + p). Which is the second biggest value?  (a) -1/2  (b) g  (c) -1/10,c
0.2,"Suppose -t = -4*t + v + 59, -5*t + 5*v = -85. Suppose 28 = 4*z + 5*d, 3*z = -0*z + d + t. What is the remainder when z is divided by 3?",1
0.2,Product of -0.1004 and -14.,1.4056
0.2,"What is the o'th term of 61, 42, 3, -62, -159?",-o**3 - 4*o**2 + 66
0.2,"Let w(n) = 5 + n + 2 - 4 + 0*n. Let i be w(2). Suppose -i*r + 5*a + 58 + 27 = 0, -4*r = 5*a - 77. What is the tens digit of r?",1
0.2,-10 - (-28 + (19 - 6)),5
0.2,"Sort 1, 16, -0.2, -2 in descending order.","16, 1, -0.2, -2"
0.2,Expand 7*f**3 - 4*f**3 - 2*f**3 + (2*f + 3*f - 4*f)*(-f**2 + f**2 + 5*f**2).,6*f**3
0.2,What are the prime factors of 19467?,"3, 7, 103"
0.2,Let b be -4 - (-24 + -4 + 8). Solve 6*u = 2*u + b for u.,4
0.2,Let t(i) = 6*i**2 + 1. Let d(z) = 4 - z. Let g(l) = l - 4. Let p(x) = 6*d(x) + 5*g(x). Let v be p(3). Is t(v) prime?,True
0.2,What are the prime factors of 3306?,"2, 3, 19, 29"
0.2,Let u = 15 - 15. Solve -2*r + 2 = -u*r for r.,1
0.2,What are the prime factors of 8822?,"2, 11, 401"
0.3,Calculate the common denominator of -71/14 and 107/6012.,42084
0.3,6916 divided by -2,-3458
0.3,Simplify ((y*y*(y**(-4)*y)/y)/y*y*y)/y**(-28) assuming y is positive.,y**27
0.3,"Suppose 4*j = -3*b + 6, -4*b + 7*b - 6 = -3*j. Let z = 4/5 - 2/15. Put b, z, -0.3 in ascending order.","-0.3, z, b"
0.3,"Suppose z = -5*s + 20, -2*s + 5*z = 24 - 5. Let t(q) = 4*q**2 + 1 + 2*q**2 - s*q**2. Is t(-1) a multiple of 2?",True
0.3,What is 3/(-30)*2/(-1)?,1/5
0.3,Which is greater: -2/1151 or 0?,0
0.3,Find the third derivative of n**6 + 8509*n**4*w**2 + 158*n**2*w**2 + 3*n**2 - 2*n*w**2 - 3*w wrt n.,120*n**3 + 204216*n*w**2
0.3,91 (base 15) to base 6,344
0.3,Is -2 < -36/13?,False
0.3,"Let j be (-38)/72 + (-12)/(-16). What is the closest to -0.2 in -0.2, 0.2, j?",-0.2
0.3,Let y(p) = -2*p - 2. Determine y(3).,-8
0.3,Convert -3 (base 8) to base 13.,-3
0.3,Calculate the smallest common multiple of 48 and 44.,528
0.3,"Let o = -152 - -184. Put o, 4, -2 in decreasing order.","o, 4, -2"
0.3,Calculate the highest common factor of 11041 and 61.,61
0.3,"Let h = 1495/7 + -214. Put h, -4, -0.05 in increasing order.","-4, h, -0.05"
0.3,Differentiate -45*v**2 + 3*v - 94 with respect to v.,3 - 90*v
0.3,"Let a = 0.35 - -0.45. Put -1, 0.5, -3, a in descending order.","a, 0.5, -1, -3"
0.3,"Suppose 4*r + 5 = 13, 0 = -4*p - 2*r + 20. Suppose -6*k = -3*k - 90. Suppose -k = -p*x + 2*x. What are the prime factors of x?","3, 5"
0.3,What is the difference between 41120 and -4?,41124
0.3,What is 0.00916 rounded to four decimal places?,0.0092
0.3,Simplify (w**(-1)/(w/(w**(1/11)*w*w)))/((w*w*w**(-1)*w)/(w/(w**(-2/7)*w*w*w))) assuming w is positive.,w**(-279/77)
0.3,Convert 3 (base 5) to base 13.,3
0.3,What is the value of -6*(207/(-756))/23?,1/14
0.3,What is the highest common factor of 1315 and 3?,1
0.3,Suppose 3 + 7 = 5*f. Let z be f/6 + 2/3. Suppose 4*d + z = 41. Is d a multiple of 5?,True
0.3,"Solve 0 = -5*t - 25, -5*t = 7*n - 3*n + 45 for n.",-5
0.3,Let c(f) = 0*f**2 - f + 0*f**2 - 2*f + 3*f**2. Let h(r) = -7*r**2 + 6*r + 1. Let u(j) = -15*c(j) - 6*h(j). What is z in u(z) = 0?,"1, 2"
0.3,Let q(v) = v**2 - 9*v - 16. What is q(13)?,36
0.3,Rearrange (-226 + 26*q - 220 + 445)*(6*q - q - 4*q) to the form p*q + h*q**2 + l and give p.,-1
0.3,Add -0.0871 and -0.069.,-0.1561
0.3,"Let m = 0.5 - 0. Let f = -948.17 + 952. Let x = -0.17 - f. What is the closest to 0 in -3, m, x?",m
0.3,"Solve -5*v = -2*u - 16, -12 + 37 = -5*u + 5*v for u.",-3
0.3,What is -358 take away 5?,-363
0.3,"Let m = 0.8 + 2.2. Let q = 2 + m. Let c = -2/545 - 1064/7085. Sort q, c, -2/19 in decreasing order.","q, -2/19, c"
0.3,Suppose -5*n + 6 = -109. What are the prime factors of n?,23
0.3,Simplify ((v**(1/2))**(-1/6))**(2/31) assuming v is positive.,v**(-1/186)
0.3,Let n(h) = h + 13. Does 6 divide n(10)?,False
0.3,"Solve -2*d = -2*t - 12, -t = -2*d - 14 + 27 for t.",1
0.3,"Let g = 11.6 - 12. What is the nearest to -1 in -0.5, 0.1, g?",-0.5
0.3,Calculate -7721 - -4.,-7717
0.3,Convert 2 (base 8) to base 5.,2
0.3,Suppose s + 126 = 3*s. Is 29 a factor of s?,False
0.3,"Solve -5*n = -4*v + 25, 3*n + 5*v = -0*v - 15 for n.",-5
0.3,Divide 846 by -9.,-94
0.3,"Suppose 7*f = 3*f. What is the nearest to f in 0.3, 0, 4?",0
0.3,Let d(t) = -73*t - 1. List the prime factors of d(-1).,"2, 3"
0.3,What is 1.86 rounded to the nearest ten?,0
0.3,"Solve 5*u + 3*c + 5 = -2*c, 2*c = 3*u + 8 for u.",-2
0.3,Let u = -187/4 - -47. Which is the nearest to 2/5?  (a) -5  (b) 3  (c) u,c
0.3,Convert -39 (base 14) to base 15.,-36
0.3,Calculate the common denominator of -83/26 and -53/312.,312
0.3,Calculate (10/32*12/1)/3.,5/4
0.3,Let o(f) = f**2 + f - 9. Does 21 divide o(5)?,True
0.3,Simplify (t**6*t*t*t**(-1))/((t/(t/(t*t**2)*t*t))/t*(t*t**(1/2)/t)/t) assuming t is positive.,t**(15/2)
0.3,Let z(i) be the first derivative of -i**6/10 - 12*i**5/25 - 3*i**4/4 - 2*i**3/5 - 5. What is f in z(f) = 0?,"-2, -1, 0"
0.3,Calculate the smallest common multiple of 2 and 5692.,5692
0.3,Rearrange 3*s**4 - s**4 + 73*s**2 - 70*s**2 + 3*s**3 to the form i*s**3 + k*s + g*s**4 + z*s**2 + t and give z.,3
0.3,"Let p(y) = y**3 - 11*y**2 - 13*y + 12. Let h be p(9). Let d = h - -811/3. Sort -1, d, -0.1 in decreasing order.","d, -0.1, -1"
0.3,"Let i(x) = 4*x + 4. Let p be i(-3). Let d be 2/8 + (-10)/p. Let g = 4.1 - 4. What is the closest to 2 in 3, g, d?",d
0.3,Is -29 smaller than 28?,True
0.3,Let b(c) = c**3 - 13*c**2 + 21*c + 24. Determine b(11).,13
0.3,Find the second derivative of -24539*s**2 - s + 4300.,-49078
0.3,What is the common denominator of 11/21 and -14/15?,105
0.3,"Let y = 179 + -1249/7. Suppose 0*u + 39*u + 624 = 0. What is the closest to 0 in u, -3/7, y?",-3/7
0.3,Find the common denominator of -85/312 and 61/27.,2808
0.3,What is 7.597 rounded to zero decimal places?,8
0.3,Let j be (-3 - 90/(-32))/(9/(-12)). Factor 0*t**3 + 0*t**2 - 1/4*t**4 - j*t**5 + 0 + 0*t.,-t**4*(t + 1)/4
0.3,Convert 10111010 (base 2) to base 13.,114
0.3,Calculate the greatest common divisor of 16 and 62576.,16
0.3,What is the second derivative of 5709*n**2*p**2 + 2*n**2*p + 397*p wrt p?,11418*n**2
0.3,Round 69.6 to zero decimal places.,70
0.3,Suppose 0 = -2*x + x + 1. Suppose p + 4 = x. Which is the closest to -1/2?  (a) -4  (b) 0.2  (c) p,b
0.3,What is the smallest common multiple of 156 and 936?,936
0.3,Factor 2*r**5 - 9*r**4 - 4*r**5 - 10*r**3 + 4*r**3 - r**5.,-3*r**3*(r + 1)*(r + 2)
0.3,Let z(m) = 142 - 11*m. What is z(14)?,-12
0.3,Let f = -16 + 30. What are the prime factors of f?,"2, 7"
0.3,Let b(p) = -9*p - 4. List the prime factors of b(-4).,2
0.3,"Let a(b) = -b**3 + 6*b**2 + 1. Let k be a(6). Let d(n) = -3*n. Let y be d(-1). Let g be 0*-2*y/6. Sort k, g, -1 in decreasing order.","k, g, -1"
0.3,"Suppose -5*p - 2*s + 17 = 2, -2*p = -4*s - 6. Suppose 4*r = 2*r + 20. Does 3 divide 28/r + p/15?",True
0.3,Let u(p) = -p**3 + 3*p - 3. Give u(1).,-1
0.3,What is the derivative of 725*j**3 - 1862 wrt j?,2175*j**2
0.3,"Let a = 3.95 - -0.05. Let y = 3 - a. Let g = 1.1 - 0.1. What is the nearest to 0.1 in y, 3, g?",g
0.3,Calculate -2 divided by 396.,-1/198
0.3,What is the third derivative of -3335*h**3 + 517*h**2 - 4?,-20010
0.3,"Let a = 4 - 0. Let k be (-33)/(-5) + (-4)/(-10). Let i = -8 + k. Put 3, a, i in decreasing order.","a, 3, i"
0.3,Simplify (m**(-1/3)/m)/m**(1/4)*m**(1/4)/(m/(m/(m*m/m**(1/2)))*m) assuming m is positive.,m**(-23/6)
0.3,Is 2/5 less than or equal to -23.4?,False
0.3,Let w(d) = -d**3 + 7*d**2 + 5*d - 5. Determine w(6).,61
0.3,Express -4*q**2 - 4*q - 2*q**3 - q**4 + 0*q + 4*q - q as p*q + g*q**3 + j + n*q**4 + s*q**2 and give s.,-4
0.3,Which is bigger: -5 or -2/533?,-2/533
0.3,What is the derivative of -87*v**4 - 78*v**3 - 14394 wrt v?,-348*v**3 - 234*v**2
0.3,"Solve 4*d - 5*b - 7 = 6*d, 3*d = -4*b - 7 for d.",-1
0.3,Is -19140 at most as big as -19141?,False
0.3,"Suppose -5*b + 2*s + 23 = 0, -4*b = 2*s + 3*s + 8. Sort b, -7, 5.","-7, b, 5"
0.3,Express -6 + 5 - 11*n + 8*n - 2*n**4 + 4*n in the form l + f*n**4 + m*n + c*n**2 + x*n**3 and give m.,1
0.3,Factor -11*p**3 - 16*p**2 + 4*p**5 + 8*p**4 - 33*p + 49*p + 7*p**3 - 8*p**3.,4*p*(p - 1)**2*(p + 2)**2
0.3,What is the value of (8/((-24)/(-3)))/((-9)/(-27))?,3
0.3,Rearrange (-21 - 217 - 169)*(-d + d - d) to b*d + z and give b.,407
0.3,Calculate the greatest common factor of 17 and 15997.,17
0.3,What is the first derivative of 7055*y - 8108?,7055
0.3,Round -0.00422288 to 4 dps.,-0.0042
0.3,Is -72/289 bigger than 1?,False
0.3,Simplify (v*v**12)**40 assuming v is positive.,v**520
0.3,2*(-2)/(-4)*1/(-2),-1/2
0.3,Simplify (n**(-3/2)/(n/(((n**(1/9)*n*n)/n)/n)))**(-3/23) assuming n is positive.,n**(43/138)
0.3,What is -5 (base 14) in base 11?,-5
0.3,What is -135 (base 14) in base 12?,-183
0.3,Calculate the highest common factor of 504 and 120.,24
0.3,Calculate -30 - -0.1.,-29.9
0.3,Calculate the smallest common multiple of 36 and 144.,144
0.3,"Let r = 0 - -2. Suppose -4*w = r*y, 3*w - 5 + 3 = -y. Suppose 0*o + w*o - 18 = 0. Is 8 a factor of o?",False
0.3,What is the highest common factor of 1845 and 315?,45
0.3,"Let w(k) = k**3 + 2*k**2 - 5*k - 4. Let l be w(-3). Let t(i) = -i - 3. Let m be t(0). Let h = 15 - 20. Put m, l, h in ascending order.","h, m, l"
0.3,"Let l = 7 + -10. Put -2, 2/5, l in decreasing order.","2/5, -2, l"
0.3,Let w(v) = v - 3. Calculate w(2).,-1
0.3,What is 21592000 rounded to the nearest 1000000?,22000000
0.3,Is -3/5893 not equal to -1?,True
0.3,"Let n = 32 - 22. Suppose -4*r = -n*r + 6. Let x be 5/12 - 4/6. What is the closest to x in r, -5, -2?",r
0.3,Suppose 0 = -7*a + 8*a - 6. Let u be (-51)/4*(-16)/a. Suppose -2*b + u + 14 = 0. Is 10 a factor of b?,False
0.3,Calculate the common denominator of 23/8 and 23/824.,824
0.3,"Suppose -5*g - r + 6*r = -1625, 995 = 3*g + 2*r. Suppose 0 = -f - 6*f + g. What are the prime factors of f?",47
0.3,"Suppose 3*h - 3*z - 54 = 0, -14 = -h + 2*z + 9. Is h even?",False
0.3,What is 0 divided by 28?,0
0.3,Round -1943.48 to the nearest one hundred.,-1900
0.3,Let l(f) = f**2 + 2*f + 5. Let j = 9 + -12. What are the prime factors of l(j)?,2
0.3,"Solve -n + 3*x = 15, -4*n = -3*x + 22 + 2 for n.",-3
0.3,Suppose -6*k - 10 = -4*k. Let q(l) = -l**3 - 4*l**2 + 5*l + 5. Let f be q(k). Let v = 2.08 - 0.08. Which is the closest to 1?  (a) f  (b) v  (c) -2,b
0.3,Do -2/24769 and -1 have the same value?,False
0.3,"Solve -4*m + 12 + 16 = 4*w, -m - 2 = -2*w for w.",3
0.3,Express 1 - 17*z + 7*z - 7*z - 2 in the form h + k*z and give h.,-1
0.3,"Let q = 51 + -49. Put q, 4, -1, 3 in descending order.","4, 3, q, -1"
0.3,Suppose 0 = -4*j - j + 20. Factor -j*m**3 + m**3 + 2*m**4 + m**4.,3*m**3*(m - 1)
0.3,720 divided by 3,240
0.3,Let b = 7 + -9. Does 17 divide b/10 + (-605)/(-25)?,False
0.3,What is 228 divided by 57?,4
0.3,"Let r(t) be the second derivative of -t**4/72 - t**3/12 + t**2/3 + 34*t. Determine k, given that r(k) = 0.","-4, 1"
0.3,-12 divided by -21,4/7
0.3,"Solve -j + 17 = -3*r, 8*j - 9*j + 21 = -4*r for j.",5
0.3,What is the greatest common factor of 55 and 143?,11
0.3,What is 24 less than -0.25179?,-24.25179
0.3,Does 292 = -2?,False
0.3,Divide 16 by 12.,4/3
0.3,"Let g(h) = h**2 - 2*h. Let t be g(2). Suppose 3*l = -t*l. Suppose l*x - 3 = -c - 4*x, 3*c - 9 = 3*x. List the prime factors of c.",3
0.3,Calculate the common denominator of 77/12 and 95/13422.,26844
0.3,Simplify t/(t/(t*t/(t**(-8)/t*t))*t)*t**(-17)/t assuming t is positive.,t**(-9)
0.3,Convert -11 (base 3) to base 9.,-4
0.3,(-34)/(-68)*(-2)/(-5),1/5
0.3,What is -0.025178 rounded to three decimal places?,-0.025
0.3,Simplify (b*b**12)/(b**(8/5)*b) assuming b is positive.,b**(52/5)
0.3,-3 (base 4) to base 3,-10
0.3,What is -256 divided by -16?,16
0.3,What is 0.067 rounded to 3 dps?,0.067
0.3,What is the highest common divisor of 1551 and 99?,33
0.3,Simplify (u**(4/7)*u**(-2/7)/u*u*u*u)/(u/u**1)**5 assuming u is positive.,u**(16/7)
0.3,What is -21.12 rounded to the nearest integer?,-21
0.3,Let u(j) = -j**2 - 2*j + 10. Give u(-7).,-25
0.3,Subtract -0.2 from -162.93106.,-162.73106
0.3,Simplify i**(1/9)/(i*(i**(2/9)*i)/i)*i*i**(-5)*i/((i**9/i)/i)*i assuming i is positive.,i**(-91/9)
0.3,Let z(h) = 35*h - 4. What are the prime factors of z(3)?,101
0.3,Let l(x) = 5*x**2 - 10*x - 7 + 0 + x**3 - 1 + 0*x**3. Is 8 a factor of l(-6)?,True
0.3,"Solve -4*a = -2*a, -5*k = 4*a - 25 for k.",5
0.3,Calculate the greatest common divisor of 60 and 70.,10
0.3,Is -2 smaller than -31/11?,False
0.3,Let w(p) = 4*p - 4. Let m be w(6). Suppose 0 = 3*c + m - 5. Is 11 a factor of -4*(c + 0/1)?,False
0.3,Calculate ((-924)/(-352))/((-3)/(-4)).,7/2
0.3,Total of -0.5 and 537.2.,536.7
0.3,Factor -10 - 4*d - 2/5*d**2.,-2*(d + 5)**2/5
0.3,Express 2*w**2 - 4*w + 140*w**3 + 5*w - 143*w**3 in the form b*w**3 + r + v*w + i*w**2 and give v.,1
0.3,What is -255953 + -0.4?,-255953.4
0.3,Let z be 40/18 + (-7 - -5). Which is the closest to 0?  (a) 0.1  (b) z  (c) -1/4,a
0.3,"Solve -3*k = 3*n + 12, -11 - 1 = 3*k + 2*n for k.",-4
0.3,Convert -1b (base 16) to base 8.,-33
0.3,Express (-l - 6 + 6)*(-1 + 1 - 14)*(-l + 0*l + 0*l) as t*l**2 + n + w*l and give t.,-14
0.3,Find the second derivative of -8*l**2*o**3 - 4*l**2*q**2 + 3*l**2*q + l*o**2*q + o**3*q**2 wrt q.,-8*l**2 + 2*o**3
0.3,Round -107231 to the nearest ten thousand.,-110000
0.3,"Suppose -n + 2 = 0, 4*i + 2*n = 3 + 13. Let o(k) be the first derivative of -3 + i*k**2 - 3*k**3 + 6 + 4*k**3. Factor o(l).",3*l*(l + 2)
0.3,((-10)/(-4))/(-5)*(-8)/12,1/3
0.3,Rearrange 0*k**2 - 3*k**2 - k**2 + 2*k**2 - 1 to the form u*k**2 + f*k + z and give u.,-2
0.3,Find the first derivative of 7042 - 5643*s**4.,-22572*s**3
0.3,(-2)/2*14/(-35),2/5
0.3,What is -6 - 1444.4?,-1450.4
0.3,Express 2*f**3 + f**2 - 30*f + 31*f - 2*f**4 - 3*f**2 as p*f**4 + j*f + h*f**3 + v*f**2 + n and give h.,2
0.3,"Let b(d) = -d**2 - 6*d + 3. Let l be b(-6). Suppose 2*h + 19 = -5*a, -l*h - a = 29 + 6. Is 2/(-2 - 26/h) a multiple of 5?",False
0.3,Round -2206.3 to the nearest 10.,-2210
0.3,Is -240 != -240?,False
0.3,Let g(b) = -3*b - 9. What is g(0)?,-9
0.3,"Solve -4*h = -4*m, 3*h = -m - 4*m + 40 for h.",5
0.3,Which is smaller: -1/131 or 0?,-1/131
0.3,"Suppose -15 = -2*b - 3. Suppose -b*i - 4*s + 70 = -3*i, 0 = i - 5*s - 17. Is 11 a factor of i?",True
0.3,What is -8 (base 10) in base 5?,-13
0.3,Divide 14 by -25.,-14/25
0.3,What is 7.026 less than 0.84?,-6.186
0.3,Which is smaller: -287 or -288?,-288
0.3,Let p = -36/11 - -875/264. Let m(r) be the first derivative of -1/6*r**3 + 1/8*r**2 + 4 + 1/10*r**5 + 0*r + 0*r**4 - p*r**6. Factor m(c).,-c*(c - 1)**3*(c + 1)/4
0.3,Let k(w) = 4*w**3 - w**2 + 3*w + 3. Determine k(2).,37
0.3,What is 0.245 rounded to one decimal place?,0.2
0.3,Let s(z) = z + 2. Determine s(-1).,1
0.3,What is the value of 2/(8/(-24)*(-3)/(-2))?,-4
0.4,What are the prime factors of 181147?,"79, 2293"
0.4,Collect the terms in 0*o - 99*o**2 - 97*o**2 + 0*o + 187*o**2.,-9*o**2
0.4,Simplify -6*((sqrt(72) + sqrt(72)*2*4)*-1 - (sqrt(72) + (sqrt(72) - 1*(-1 + sqrt(72))))**2*-2).,-876 + 180*sqrt(2)
0.4,Let p be (-63)/29 + (-6 - (9 + -16)). Is -1 >= p?,True
0.4,Suppose 16*m + 20 = 18*m. Suppose 2*d - 6 = 8. Is m equal to d?,False
0.4,"Find g, given that 1156*g**2 + 3795420*g + 3115314225 = 0.",-55815/34
0.4,Expand (9*o - 24*o + 5*o)*(-3*o + 41 - 46 + o).,20*o**2 + 50*o
0.4,What is the highest common divisor of 782688 and 192?,96
0.4,Collect the terms in -425*z**2 + 301*z**2 - 396*z**2.,-520*z**2
0.4,"Let m = -0.001 + 0.501. What is the closest to -2 in m, -0.1, -18, 0.2?",-0.1
0.4,"Let x = 4.971 + 0.489. Let m = x + -0.46. Suppose 0*f = f. What is the closest to -3/2 in -0.1, m, f?",-0.1
0.4,What is 704 minutes before 1:00 AM?,1:16 PM
0.4,Expand -4*z + 4*z - z**2 - z + z - 2*z**2 + (0 + 2*z**2 + 0)*(3 - 3 - 2) + 0*z**2 - 2*z**2 + 3*z**2 - 2*z**2 + 3*z**2 + 0*z**2 + 250 - 250 - 3*z**2.,-8*z**2
0.4,What is 155 minutes after 5:26 PM?,8:01 PM
0.4,Factor -4*f**3 + 14088*f**2 - 14084*f.,-4*f*(f - 3521)*(f - 1)
